-Angell,http://wiki.teamliquid.net/dota2/-Angell,-,-
04,http://wiki.teamliquid.net/dota2/04,http://www.twitch.tv/sdran06,http://www.dotabuff.com/esports/players/11929046
13abyKnight,http://wiki.teamliquid.net/dota2/13abyKnight,http://www.twitch.tv/babyknight,http://www.dotabuff.com/esports/players/42989814
142,http://wiki.teamliquid.net/dota2/142,http://www.twitch.tv/viazu,-
1437,http://wiki.teamliquid.net/dota2/1437,http://www.twitch.tv/1437,http://www.dotabuff.com/esports/players/87196890
290,http://wiki.teamliquid.net/dota2/290,-,http://www.dotabuff.com/esports/players/117587043
2GD,http://wiki.teamliquid.net/dota2/2GD,http://www.twitch.tv/2gd,http://www.dotabuff.com/esports/players/35960687
33,http://wiki.teamliquid.net/dota2/33,-,http://www.dotabuff.com/esports/players/86698277
343,http://wiki.teamliquid.net/dota2/343,http://www.twitch.tv/343Dota,http://www.dotabuff.com/esports/players/111034589
470,http://wiki.teamliquid.net/dota2/470,-,http://www.dotabuff.com/esports/players/53575999
4DR,http://wiki.teamliquid.net/dota2/4DR,http://www.twitch.tv/adriano_dpm,http://www.dotabuff.com/esports/players/85937380
747,http://wiki.teamliquid.net/dota2/747,http://www.twitch.tv/747dota,http://www.dotabuff.com/esports/players/115141430
7ckngMad,http://wiki.teamliquid.net/dota2/7ckngMad,http://www.twitch.tv/7ckngmad,http://www.dotabuff.com/esports/players/88271237
820,http://wiki.teamliquid.net/dota2/820,-,-
86,http://wiki.teamliquid.net/dota2/86,-,http://www.dotabuff.com/esports/players/182439266
897,http://wiki.teamliquid.net/dota2/897,-,http://www.dotabuff.com/esports/players/139174891
9pasha,http://wiki.teamliquid.net/dota2/9pasha,http://www.twitch.tv/9pasha,http://www.dotabuff.com/esports/players/92423451
AabBAA,http://wiki.teamliquid.net/dota2/AabBAA,-,http://www.dotabuff.com/esports/players/91191651
Ab1ng,http://wiki.teamliquid.net/dota2/Ab1ng,-,http://www.dotabuff.com/esports/players/211531481
